Region,Cut off P01,Cut off P02,Cut off P03,Cut off P04,Cut off P05,Cut off P06,Cut off P07,Cut off P08,Cut off P09
England,48.90923349,68.06317444,72.68538223,73.27548842,74.67911172,89.03683254,94.08678841,97.16602592,100
North East,46.62521721,76.03543443,81.88343604,81.93484957,82.42281071,98.81047553,99.02781455,99.17691612,100
North West,29.96729984,70.49369814,76.58375658,76.61375699,76.98224037,80.94191268,92.1105492,93.21045251,100
Yorkshire & the Humber,49.78061577,74.21144766,76.63431061,76.95961439,77.63976327,92.45948847,94.33337231,96.35014399,100
East Midlands,53.47875937,65.96609336,69.27958305,69.83832897,71.05373818,90.42549258,93.77791886,97.59684523,100
West Midlands,47.60569111,64.99662502,72.2011144,72.72513866,74.36996489,86.4351677,94.12092323,95.3857362,100
East of England,52.03024158,68.19469818,71.02375581,71.57881823,73.52689146,86.49009878,89.30306994,96.28559774,100
South East,50.35438106,66.9273472,73.4745843,74.44030458,76.54952611,93.32451981,99.10475913,99.32217927,100
South West,39.16388925,64.87953222,72.89352572,73.70291076,74.60711668,84.84177154,97.91371782,98.55331424,100
,,,,,,,,,
